Year,Port,County,KGS,Purchase Total
2018,North Sydney - Marina Breakwater,Cape Breton,"87,715.21","416,038.06"
2018,Oyster Creek,Cape Breton,,
2018,Point Aconi,Cape Breton,,
2018,Port Morien,Cape Breton,"1,122,482.35","15,117,498.72"
2018,South Bar,Cape Breton,"142,395.69","1,979,152"
2018,Three Stick Cove,Cape Breton,,
2018,Victoria Bridge,Cape Breton,,
2018,Other,Cape Breton,"767,204.59","7,397,523.19"
2018,Total for Cape Breton County,Cape Breton,"14,065,757.41","126,258,627.32"
2018,Barrachois,Colchester,,
2018,Five Islands,Colchester,,
2018,Other,Colchester,,
2018,Total for Colchester County,Colchester,"196,128.41","590,388.51"
2018,Advocate Harbour,Cumberland,"166,684","2,927,377.07"
2018,Apple River,Cumberland,,
2018,Malagash,Cumberland,,
2018,Northport,Cumberland,,
2018,Pugwash,Cumberland,,
2018,Wallace,Cumberland,,
2018,Other,Cumberland,"60,411.76","831,209.15"
2018,Total for Cumberland County,Cumberland,"801,170.3","10,785,891.44"
2018,Cape St. Marys,Digby,"268,256","4,827,408"
2018,Centerville,Digby,"67,788.87","1,199,857.86"
2018,Culloden,Digby,,
2018,Digby,Digby,"5,104,618.76","59,806,801.95"
2018,East Ferry,Digby,,
2018,Freeport,Digby,"52,783.13","893,796.95"
2018,Freeport,Digby,,
2018,Gilberts Cove,Digby,,
2018,Little River,Digby,"839,727.16","9,217,208.24"
2018,Meteghan,Digby,"2,814,640.06","4,509,075.44"
2018,Meteghan River,Digby,,
2018,Rossway,Digby,,
2018,Sandy Cove East,Digby,"239,969.22","3,592,659.51"
2018,Saulnierville,Digby,"499,504.14","4,804,369.63"
2018,Tiverton,Digby,"293,865.02","5,372,982.33"
2018,Westport,Digby,"568,683.26","8,754,304.04"
2018,Weymputh North,Digby,"265,277.16","867,502.75"
2018,Whale Cove,Digby,,
2018,Other,Digby,"155,099.43","268,537.95"
2018,Total for Digby County,Digby,"12,209,883.47","122,896,381.04"
2018,Canso,Guysborough,"2,435,197.55","7,871,946.12"
2018,Charlos Cove,Guysborough,,
2018,Cooks Cove,Guysborough,,
2018,Dover,Guysborough,,
2018,Drum Head,Guysborough,,
2018,Ecum Secum,Guysborough,,
2018,Fishermans Harbour,Guysborough,,
2018,Goldboro,Guysborough,,
2018,Half Island Cove,Guysborough,,
2018,Larrys River,Guysborough,,
2018,Little Harbour,Guysborough,,
2018,Little Liscomb,Guysborough,,
2018,Marie Joseph,Guysborough,"356,222.59","4,805,198.1"
2018,New Harbour,Guysborough,,
2018,Pirate Harbour,Guysborough,,
2018,Port Brickerton East,Guysborough,,
2018,Port Brickerton West,Guysborough,,
2018,Port Felix,Guysborough,,
2018,Queensport,Guysborough,,
2018,Sonora,Guysborough,,
2018,Upper Whitehead,Guysborough,"45,346.08","602,658.26"
2018,Wine Harbour,Guysborough,,
2018,Other,Guysborough,"141,871.96","4,933,356.74"
2018,Total for Guysborough County,Guysborough,"6,084,132.74","48,605,726.46"
2018,Boutiliers Point,Halifax,,
2018,Carters Point,Halifax,,
2018,Coopers Point,Halifax,,
2018,East Chezzetcook,Halifax,"72,644.13","272,075.09"
2018,East Dover,Halifax,,
2018,East Jeddor,Halifax,"1,405,935.16","7,848,189.38"
2018,East Petpeswick,Halifax,,
2018,Eastern Passage,Halifax,"1,452,835.93","4,438,774"
2018,Ecum Secum West,Halifax,,
2018,Factory Cove,Halifax,,
2018,Gammons Creek,Halifax,,
2018,Halifax,Halifax,"1,325,362.75","5,347,104.83"
2018,Indian Harbour,Halifax,,
2018,Ketch Harbour,Halifax,,
2018,Little Harbour,Halifax,,
2018,Ostrea Lake,Halifax,,
2018,Owls Head,Halifax,,
2018,Peggys Cove,Halifax,,
2018,Pleasant Point,Halifax,,
2018,Prospect,Halifax,,
2018,Sambro,Halifax,"2,725,537.21","17,270,108.36"
2018,Shad Bay,Halifax,,
2018,Sober Island,Halifax,,
2018,Terence Bay,Halifax,,
2018,Three Fathom Harbour,Halifax,,
2018,West Chezzetcook,Halifax,,
2018,West Dover,Halifax,,
2018,Other,Halifax,"1,603,131.17","25,457,846.49"
2018,Total for Halifax County,Halifax,"10,060,778.61","78,454,080.26"
2018,Other,Hants,,
2018,Total for Hants County,Hants,78.12,"1,103.16"
2018,Cheticamp,Inverness,"2,735,828.81","34,720,733"
2018,Cheticamp Point,Inverness,,
2018,Cheticamp - Town Wharf,Inverness,,
2018,Finlay Point,Inverness,,
2018,Grand Etang,Inverness,"344,299.91","4,705,823.09"
2018,Inverness,Inverness,"300,568.21","3,881,856.23"
2018,Judique,Inverness,,
2018,Little Judique Harbour,Inverness,,
2018,Little Judique Ponds,Inverness,,
2018,Mabou Harbour,Inverness,"319,492.51","3,993,522.6"
2018,Marble Mountain,Inverness,,
2018,Margaree Harbour,Inverness,"326,975.43","4,364,773.06"
2018,Meat Cove,Inverness,,
2018,Murphys Pond,Inverness,,
2018,Pleasant Bay,Inverness,"306,253.53","4,127,516.69"
2018,Port Hood,Inverness,,
2018,Port Hood Island,Inverness,,
2018,Other,Inverness,,
2018,Total for Inverness County,Inverness,"6,318,944.34","78,793,981.67"
2018,Halls Harbour,Kings,"62,956.48","1,018,885.49"
2018,Harbourville,Kings,"113,926.03","1,813,051.77"
2018,Kingsport,Kings,,
2018,Pereaux,Kings,,
2018,Scots Bay,Kings,,
2018,Other,Kings,"248,819.24","1,424,050.42"
2018,Total for Kings County,Kings,"511,647.28","5,579,604.97"
2018,Aspotogan,Lunenburg,,
2018,Black Harbour,Lunenburg,,
2018,Bayport,Lunenburg,,
2018,Big Tancook Island,Lunenburg,,
2018,Blandford,Lunenburg,"119,581.81","2,180,484.8"
2018,Bush Island,Lunenburg,,
2018,Chester Basin,Lunenburg,,
2018,Feltzen South,Lunenburg,,
2018,Fox Point,Lunenburg,,
2018,Kings Bay,Lunenburg,,
2018,Kraut Point,Lunenburg,,
2018,Little Harbour,Lunenburg,,
2018,Lunenburg,Lunenburg,,
2018,Lunenburg,Lunenburg,"41,910.99","795,163.27"
2018,Lunenburg,Lunenburg,,
2018,Mahone Bay,Lunenburg,,
2018,Mill Cove,Lunenburg,,
2018,Northwest Cove,Lunenburg,,
2018,Riverport,Lunenburg,,
2018,Saw Pit,Lunenburg,,
2018,Voglers Cove West,Lunenburg,"274,667.67","4,978,407.67"
2018,Western Shore,Lunenburg,,
2018,Other,Lunenburg,"634,764.34","12,471,370.08"
2018,Total for Lunenburg County,Lunenburg,"2,024,863.28","26,239,266.46"
2018,Baileys Brook,Pictou,,
2018,Big Island,Pictou,,
2018,Cape John,Pictou,"114,244.63","1,493,350.86"
2018,Caribou,Pictou,"1,545,583.18","7,155,638.92"
2018,Caribou Ferry,Pictou,"1,160,735.57","2,989,492.62"
2018,Chance Harbour,Pictou,,
2018,Little Harbour,Pictou,"183,930.65","2,272,545.6"
2018,Merigomish,Pictou,,
2018,Pictou Island,Pictou,,
2018,Pictou Landing,Pictou,,
2018,Skinners Cove,Pictou,,
2018,Toney River,Pictou,"252,093.28","2,732,903.15"
2018,Other,Pictou,"1,151,198.17","1,290,100.31"
2018,Total for Pictou County,Pictou,"5,020,829.13","25,479,352.38"
2018,Brooklyn Fisherman's Wharf,Queens,"43,916.32","790,698.8"
2018,East Side Port L'Hebert,Queens,"480,589.35","3,984,234.45"
2018,Hunts Point,Queens,,
2018,Moose Harbour,Queens,"115,262.26","2,136,171.29"
2018,Port Medway,Queens,"143,302.4","2,560,592.54"
2018,Port Mouton,Queens,"5,909,038.67","21,993,919.08"
2018,South West Port Mouton,Queens,,
2018,St. Catherines River,Queens,,
2018,Volgers Cove,Queens,"94,412.9","1,633,815.6"
2018,West Berlin,Queens,,
2018,Other,Queens,"1,490,102.06","7,269,778.18"
2018,Total for Queens County,Queens,"8,434,369.2","43,293,778.42"
2018,Arichat,Richmond,"3,034,033.79","32,019,919.92"
2018,Arrow Point,Richmond,,
2018,Chapel Cove,Richmond,,
2018,D'escousse,Richmond,,
2018,Fourchu,Richmond,,
2018,Janvrin Harbour,Richmond,,
2018,L'Archeveque,Richmond,,
2018,Little Harbour,Richmond,"1,709,946.18","21,623,585.8"
2018,Poirierville,Richmond,,
2018,River Bourgeois,Richmond,,
2018,Other,Richmond,"2,187,966.78","26,454,121.08"
2018,Total for Richmond County,Richmond,"7,607,547.55","89,861,909.98"
2018,Allendale,Shelburne,,
2018,Bear Point,Shelburne,"1,561,110.04","4,613,173.63"
2018,Cape Negro,Shelburne,,
2018,Clarck's Harbour,Shelburne,"297,935.46","30,949,473.86"
2018,Cripple Creek,Shelburne,"250,043.95","4,614,017"
2018,Forbes Point,Shelburne,"404,127.34","4,899,881.48"
2018,Gunning Cove,Shelburne,"1,663,364.3","16,993,981.57"
2018,Ingomar,Shelburne,"1,478,141.54","16,615,083.38"
2018,Jones Harbour,Shelburne,"103,917.01","2,176,376.33"
2018,Little Harbour,Shelburne,"111,179.03","2,083,310.82"
2018,Lockeport,Shelburne,"928,274.44","17,145,825.22"
2018,Lower Jordan Bay,Shelburne,"759,246.78","5,016,595.8"
2018,Lower Sandy Point,Shelburne,"447,416.6","7,734,834.5"
2018,Lower Woods Harbour,Shelburne,"2,389,411.97","10,492,540.32"
2018,Lower Woods Harbour,Shelburne,"1,506,781.84","25,923,824.04"
2018,Lower Woods Harbour,Shelburne,,
2018,Newellton,Shelburne,"557,798.39","10,091,008.37"
2018,Osborne Harbour,Shelburne,,
2018,Port La Tour,Shelburne,"1,581,296.09","14,475,565.41"
2018,Seal Point,Shelburne,"61,385.97","1,170,320.1"
2018,Shag Harbour,Shelburne,"1,444,442.43","10,346,591.82"
2018,Shag Harbour,Shelburne,,
2018,Shelburne,Shelburne,"78,940.44","1,350,915.92"
2018,South Side,Shelburne,"466,453.6","6,352,972.32"
2018,Stoney Island,Shelburne,"293,449.07","5,200,204.23"
2018,Swims Point,Shelburne,"274,382.34","2,251,419.47"
2018,Uper Port La Tour,Shelburne,,
2018,West Green Harbour,Shelburne,,
2018,West Head,Shelburne,"2,188,834.04","22,737,055.96"
2018,Other,Shelburne,"856,207.28","7,185,998.04"
2018,Total for Shelburne County,Shelburne,"20,334,810.38","236,425,824"
2018,Bay St. Lawrence,Victoria,,
2018,Big Bras D'or,Victoria,"255,608.08","3,029,307.53"
2018,Dingwall,Victoria,"328,471.82","4,038,191.45"
2018,Englishtown,Victoria,,
2018,Ingonish,Victoria,"285,275.53","3,667,759.86"
2018,Ingonish Beach,Victoria,,
2018,Ingonish Ferry,Victoria,,
2018,Iona,Victoria,,
2018,Little River,Victoria,,
2018,Neils Harbour,Victoria,,
2018,New Campbellton,Victoria,,
2018,New Haven,Victoria,,
2018,Nyanza,Victoria,,
2018,Smelt Book,Victoria,,
2018,White Point,Victoria,,
2018,Wreck Cove,Victoria,,
2018,Other,Victoria,,
2018,Total for Victoria County,Victoria,"2,613,477.79","31,947,296.78"
2018,Abbotts Harbour,Yarmouth,"890,043.67","5,944,149.33"
2018,Abrams River,Yarmouth,,
2018,Camp Cove,Yarmouth,"2,071,142.35","24,092,536.02"
2018,Chebogue,Yarmouth,"551,302.97","990,501.79"
2018,Chegoggin,Yarmouth,"13,062.32","226,691.3"
2018,Chegoggin Point,Yarmouth,"293,020.43","4,713,679.73"
2018,Dennis Point,Yarmouth,"17,053,810.47","20,651,905.77"
2018,Glenwood,Yarmouth,,
2018,Hubbards Point,Yarmouth,,
2018,Ledge Harbour,Yarmouth,,
2018,Little River Harbour,Yarmouth,"1,242,916.93","11,271,966.76"
2018,Lower East Pubnico,Yarmouth,"7,566,529.61","50,425,624.28"
2018,Lower Wedgeport Tuna Wharf,Yarmouth,,
2018,Morris Island,Yarmouth,"579,835.72","646,152.21"
2018,Pinkneys Point,Yarmouth,"1,746,510.17","9,896,027.35"
2018,Plymouth,Yarmouth,,
2018,Port Maitland,Yarmouth,"818,044.56","6,679,459.7"
2018,Rocco Point,Yarmouth,"455,154.17","173,419.78"
2018,Stanford,Yarmouth,"332,529.2","5,967,876.15"
2018,Sluice Point,Yarmouth,"1,067,948.8","368,399.97"
2018,Surettes Island,Yarmouth,,
2018,Wedge Point,Yarmouth,"3,792,020.93","18,906,199.68"
2018,Yarmouth Bar,Yarmouth,"2,852,259.29","35,327,486.95"
2018,Other,Yarmouth,"10,534,896.18","14,092,405.58"
2018,Total for Yarmouth County,Yarmouth,"56,834,119.75","213,247,904.62"
